"","contrast","estimate","SE","df","t.ratio","p.value","Variance","traits"
"1","pos - zero",34.8125,7.18212279787612,38,4.84710453715643,2.13799530450945e-05,"high","c-shed"
"2","pos - zero",17.9167346938776,2.51651151163379,143,7.11967126359202,1.4518197755109e-10,"med","c-shed"
"3","pos - neg",40.143829787234,2.54340957710438,143,15.7834704046907,0,"med","c-shed"
"4","zero - neg",22.2270950933564,2.55595388428765,143,8.6962034917743,4.2854608750531e-14,"med","c-shed"
"5","pos - zero",3.07999999999999,1.9808992666872,147,1.55484938169062,0.268615916422506,"low","c-shed"
"6","pos - neg",3.48,1.9808992666872,147,1.75677787281927,0.187903746750396,"low","c-shed"
"7","zero - neg",0.400000000000011,1.9808992666872,147,0.201928491128657,0.977775582639039,"low","c-shed"
"8","pos - zero",18.5163847780127,2.86921626982266,129,6.45346430408926,6.04755712174665e-09,"high","c-alpha"
"9","pos - neg",-8.47906976744189,2.85341589362396,129,-2.97155061986885,0.00983179441552484,"high","c-alpha"
"10","zero - neg",-26.9954545454546,2.83678637750647,129,-9.51620987731317,0,"high","c-alpha"
"11","pos - zero",5.16326530612245,2.24949282389096,144,2.29530196819723,0.0596494517778036,"med","c-alpha"
"12","pos - neg",-2.61224489795916,2.24949282389096,144,-1.16125949379147,0.478260806325489,"med","c-alpha"
"13","zero - neg",-7.77551020408161,2.24949282389096,144,-3.45656146198869,0.00206692931934926,"med","c-alpha"
"14","pos - zero",-2.92,1.72182627296882,147,-1.69587376255169,0.210191920846932,"low","c-alpha"
"15","pos - neg",-1.9,1.72182627296882,147,-1.10347950303021,0.513454080851191,"low","c-alpha"
"16","zero - neg",1.02,1.72182627296883,147,0.592394259521484,0.824415905515005,"low","c-alpha"
"17","pos - zero",17.2351351351351,2.3973131924103,121,7.18935481175351,1.75779502065154e-10,"high","c-gamma"
"18","pos - neg",-0.219148936170221,2.26095007236126,121,-0.0969278087336751,0.994833981211189,"high","c-gamma"
"19","zero - neg",-17.4542840713054,2.30993693149191,121,-7.55617343198725,2.63608024297923e-11,"high","c-gamma"
"20","pos - zero",3.74612244897959,2.08142853823963,145,1.79978432127575,0.173268231386935,"med","c-gamma"
"21","pos - neg",-8.19265306122446,2.08142853823963,145,-3.93607222669937,0.000375051414952421,"med","c-gamma"
"22","zero - neg",-11.938775510204,2.09191439069053,145,-5.70710520628099,1.87144629348879e-07,"med","c-gamma"
"23","pos - zero",0.580000000000001,1.90302158591609,147,0.304778466146929,0.950102984339969,"low","c-gamma"
"24","pos - neg",1.74000000000001,1.90302158591609,147,0.914335398440789,0.632123586309533,"low","c-gamma"
"25","zero - neg",1.16000000000001,1.90302158591609,147,0.60955693229386,0.815131965144678,"low","c-gamma"
"26","pos - zero",7.2198228128461,2.56914909594985,128,2.81020000911112,0.0157042906232705,"high","shed-alpha"
"27","pos - neg",-13.2867494824016,2.52741462172868,128,-5.25705175881029,1.77689911062817e-06,"high","shed-alpha"
"28","zero - neg",-20.5065722952477,2.51200545588499,128,-8.16342665466989,8.16569034611803e-13,"high","shed-alpha"
"29","pos - zero",3.75061224489796,1.99649524999646,145,1.87859813085186,0.148565496655946,"med","shed-alpha"
"30","pos - neg",-2.67795918367349,1.99649524999646,145,-1.34133010518219,0.374721643459462,"med","shed-alpha"
"31","zero - neg",-6.42857142857145,2.00655322423183,145,-3.20378814323876,0.00472343835647393,"med","shed-alpha"
"32","pos - zero",1.22000000000001,2.20412723560785,147,0.553507066330296,0.844840886600338,"low","shed-alpha"
"33","pos - neg",-1.05999999999999,2.20412723560785,147,-0.480915975664022,0.880435861885367,"low","shed-alpha"
"34","zero - neg",-2.28,2.20412723560785,147,-1.03442304199432,0.556398006178273,"low","shed-alpha"
"35","pos - zero",7.98604651162792,1.75452192517796,121,4.55169376741637,3.7801486600153e-05,"high","shed-gamma"
"36","pos - neg",-8.39931934203064,1.74340169482107,121,-4.81777628585631,1.26402416513738e-05,"high","shed-gamma"
"37","zero - neg",-16.3853658536586,1.77502536050678,121,-9.23106014044806,3.8746783559418e-14,"high","shed-gamma"
"38","pos - zero",1.89795918367348,1.97829983318929,144,0.959389042971163,0.603684875638796,"med","shed-gamma"
"39","pos - neg",-6.87755102040816,1.97829983318929,144,-3.4764957793686,0.00193219775338582,"med","shed-gamma"
"40","zero - neg",-8.77551020408164,1.97829983318929,144,-4.43588482233976,5.35521867156552e-05,"med","shed-gamma"
"41","pos - zero",3.48,1.92598274234468,147,1.80686977276,0.17088214455495,"low","shed-gamma"
"42","pos - neg",4.44000000000002,1.92598274234468,147,2.30531660662483,0.0581726614329492,"low","shed-gamma"
"43","zero - neg",0.960000000000021,1.92598274234468,147,0.498446833864837,0.872164374581578,"low","shed-gamma"
"44","pos - zero",9.3134693877551,1.07320796209957,146,8.67815904900176,6.22835116814713e-14,"high","alpha-gamma"
"45","pos - neg",8.97999999999997,1.06777396281814,146,8.41001964151606,1.41331391034782e-13,"high","alpha-gamma"
"46","zero - neg",-0.333469387755121,1.07320796209957,146,-0.310722059033871,0.948190892448781,"high","alpha-gamma"
"47","pos - zero",3.67999999999999,1.57362507936642,146,2.33854940941947,0.0537096532404727,"med","alpha-gamma"
"48","pos - neg",6.3428571428571,1.58163340121006,146,4.01032068367067,0.000282920754948512,"med","alpha-gamma"
"49","zero - neg",2.66285714285711,1.58163340121006,146,1.6836121068383,0.214916363872253,"med","alpha-gamma"
"50","pos - zero",1.02612244897959,1.93724370957304,146,0.529681652292341,0.856906558635739,"low","alpha-gamma"
"51","pos - neg",0.186122448979597,1.93724370957304,146,0.0960759082916924,0.994924118474415,"low","alpha-gamma"
"52","zero - neg",-0.839999999999993,1.9274348176364,146,-0.435812403259415,0.900686676751277,"low","alpha-gamma"
