"","contrast","estimate","SE","df","t.ratio","p.value","Variance","traits"
"1","pos - zero",0.00440558472967758,0.0183682467890146,111,0.239847862470598,0.968793962308573,"high","c-shed"
"2","pos - neg",0.0628329774832307,0.0203446459963697,111,3.08842815423983,0.0071218488137661,"high","c-shed"
"3","zero - neg",0.0584273927535531,0.0204419652707505,111,2.85820819963697,0.0139879734898638,"high","c-shed"
"4","pos - zero",0.0487255273634206,0.00512711564457711,147,9.50349684719068,2.99760216648792e-14,"med","c-shed"
"5","pos - neg",0.0930394425656371,0.00512711564457711,147,18.1465465215406,2.99760216648792e-15,"med","c-shed"
"6","zero - neg",0.0443139152022165,0.00512711564457711,147,8.64304967434991,5.77315972805081e-14,"med","c-shed"
"7","pos - zero",0.00258736909184499,0.00176339866509206,147,1.46726270302009,0.309655304490285,"low","c-shed"
"8","pos - neg",0.0114998143979676,0.00176339866509206,147,6.52139225554378,3.14747394813963e-09,"low","c-shed"
"9","zero - neg",0.00891244530612257,0.00176339866509206,147,5.05412955252368,3.77655107519637e-06,"low","c-shed"
"10","pos - zero",0.0332361103878189,0.00987620286508871,144,3.36527214374109,0.00280335666927822,"high","c-alpha"
"11","pos - neg",-0.0234566239186235,0.00982720941104647,144,-2.38690587912542,0.0477484563153485,"high","c-alpha"
"12","zero - neg",-0.0566927343064424,0.00977591346927448,144,-5.79922628045212,1.21429602262246e-07,"high","c-alpha"
"13","pos - zero",0.00511572188238666,0.00340945282629234,147,1.50045246056383,0.293684128475751,"med","c-alpha"
"14","pos - neg",-0.0283513008891749,0.00340945282629234,147,-8.31549880102198,2.02060590481778e-13,"med","c-alpha"
"15","zero - neg",-0.0334670227715616,0.00340945282629234,147,-9.81595126158581,3.10862446895044e-14,"med","c-alpha"
"16","pos - zero",-0.000380894308414348,0.00184916237093975,147,-0.205982078372478,0.976885062437955,"low","c-alpha"
"17","pos - neg",-0.00561238868798804,0.00184916237093975,147,-3.0350978238519,0.00796140502758336,"low","c-alpha"
"18","zero - neg",-0.00523149437957369,0.00184916237093975,147,-2.82911574547942,0.0146297519069613,"low","c-alpha"
"19","pos - zero",0.0394313094769393,0.0129567635053601,138,3.0432993131832,0.00784303579645229,"high","c-gamma"
"20","pos - neg",-0.0224275306114918,0.0126250383762328,138,-1.77643266841174,0.181316755313276,"high","c-gamma"
"21","zero - neg",-0.0618588400884312,0.0126978897505494,138,-4.8715842792504,8.90904105033119e-06,"high","c-gamma"
"22","pos - zero",-0.00333250282558485,0.00542114821234842,147,-0.614722692508941,0.812307137006768,"med","c-gamma"
"23","pos - neg",-0.0363803374971969,0.00542114821234842,147,-6.7108177220333,1.17379705955045e-09,"med","c-gamma"
"24","zero - neg",-0.033047834671612,0.00542114821234842,147,-6.09609502952435,2.73050675403397e-08,"med","c-gamma"
"25","pos - zero",-0.00169027226719956,0.00181296063070142,147,-0.932327066884845,0.620762311082866,"low","c-gamma"
"26","pos - neg",-0.00463289528197763,0.00181296063070142,147,-2.55543071566049,0.0310284312914365,"low","c-gamma"
"27","zero - neg",-0.00294262301477807,0.00181296063070142,147,-1.62310364877564,0.239147978170967,"low","c-gamma"
"28","pos - zero",-0.00128498522119198,0.0097427470854807,145,-0.131891468588664,0.990456260538293,"high","shed-alpha"
"29","pos - neg",-0.0253892824507261,0.00969391095296041,145,-2.6190959019458,0.0262350949613599,"high","shed-alpha"
"30","zero - neg",-0.0241042972295341,0.00969391095296041,145,-2.48653998850412,0.0371395698403562,"high","shed-alpha"
"31","pos - zero",-0.000747982058894046,0.00312825271264944,147,-0.239105381694227,0.968981630001697,"med","shed-alpha"
"32","pos - neg",-0.0274185534274045,0.00312825271264944,147,-8.76481408184654,4.37427871702312e-14,"med","shed-alpha"
"33","zero - neg",-0.0266705713685104,0.00312825271264944,147,-8.5257087001523,8.30446822419617e-14,"med","shed-alpha"
"34","pos - zero",0.000156688920086544,0.00178650873542299,147,0.0877067752201305,0.995768086483548,"low","shed-alpha"
"35","pos - neg",-0.00198263709983407,0.00178650873542299,147,-1.10978304249077,0.509575058188809,"low","shed-alpha"
"36","zero - neg",-0.00213932601992061,0.00178650873542299,147,-1.1974898177109,0.45655775429745,"low","shed-alpha"
"37","pos - zero",0.011145358681636,0.0115426147698971,141,0.965583527114052,0.599795179676144,"high","shed-gamma"
"38","pos - neg",-0.0237605065479767,0.0114810805096586,141,-2.06953574865955,0.0999140851491641,"high","shed-gamma"
"39","zero - neg",-0.0349058652296127,0.0116013307604584,141,-3.00878114333096,0.00867618910656176,"high","shed-gamma"
"40","pos - zero",0.00143456284514264,0.00702909292736881,147,0.204089327024965,0.977302974691609,"med","shed-gamma"
"41","pos - neg",-0.0305030946406896,0.0070290929273688,147,-4.33954920725566,7.80736787349134e-05,"med","shed-gamma"
"42","zero - neg",-0.0319376574858323,0.00702909292736881,147,-4.54363853428062,3.3955414993847e-05,"med","shed-gamma"
"43","pos - zero",0.000641464595444381,0.00174423869316463,147,0.367761934165415,0.928200723508672,"low","shed-gamma"
"44","pos - neg",-0.00363733897080378,0.00174423869316463,147,-2.08534473237974,0.0963786402259755,"low","shed-gamma"
"45","zero - neg",-0.00427880356624816,0.00174423869316463,147,-2.45310666654515,0.0404036493489188,"low","shed-gamma"
"46","pos - zero",-0.00674639915624478,0.00536588395934823,147,-1.25727637931705,0.421658754014923,"high","alpha-gamma"
"47","pos - neg",0.00552215378918799,0.00536588395934823,147,1.02912284928703,0.559721751716533,"high","alpha-gamma"
"48","zero - neg",0.0122685529454328,0.00536588395934823,147,2.28639922860407,0.0608625021878458,"high","alpha-gamma"
"49","pos - zero",0.00495623879116979,0.0017973546015833,146,2.75751862587594,0.017935749082531,"med","alpha-gamma"
"50","pos - neg",0.00763287195855169,0.00180650150341232,146,4.22522314215288,0.000123419820558968,"med","alpha-gamma"
"51","zero - neg",0.0026766331673819,0.00180650150341232,146,1.48166672561633,0.302681864556899,"med","alpha-gamma"
"52","pos - zero",-0.00154404705018978,0.00171555745853252,146,-0.900026427276034,0.64115482537766,"low","alpha-gamma"
"53","pos - neg",-0.000511406371849006,0.00171555745853252,146,-0.298099238416918,0.952212467601752,"low","alpha-gamma"
"54","zero - neg",0.00103264067834077,0.00170687103583893,146,0.60499045133379,0.817619043266956,"low","alpha-gamma"
