"","contrast","estimate","SE","df","t.ratio","p.value","Covariance","traits"
"1","high - low",0.31615002090968,0.0053452638372633,139,59.1458215225433,1.66533453693773e-15,"nocorr","c-shed"
"2","high - med",0.162997873990048,0.0053452638372633,139,30.4938874773112,1.66533453693773e-15,"nocorr","c-shed"
"3","low - med",-0.153152146919633,0.00510757644940146,139,-29.9852872368812,1.66533453693773e-15,"nocorr","c-shed"
"4","high - low",0.26663507346225,0.0169344996693116,126,15.7450812642219,0,"negcorr","c-shed"
"5","high - med",0.148884396438711,0.0169344996693116,126,8.7917800552748,4.88498130835069e-15,"negcorr","c-shed"
"6","low - med",-0.117750677023539,0.0145101807057181,126,-8.11503863471084,1.09923181668137e-12,"negcorr","c-shed"
"7","high - low",0.317968236547513,0.00680495379414693,140,46.7259949393048,1.26565424807268e-14,"poscorr","c-shed"
"8","high - med",0.118677931356304,0.00680495379414692,140,17.43993198872,1.26565424807268e-14,"poscorr","c-shed"
"9","low - med",-0.199290305191208,0.00654384391662653,140,-30.4546238770845,1.26565424807268e-14,"poscorr","c-shed"
"10","high - low",0.255907639056503,0.00921606232440727,146,27.7675681921956,1.0769163338864e-14,"nocorr","c-alpha"
"11","high - med",0.151013077823046,0.00921606232440726,146,16.3858568342265,1.0769163338864e-14,"nocorr","c-alpha"
"12","low - med",-0.104894561233457,0.00916939841786071,146,-11.4396339272528,2.00950367457153e-14,"nocorr","c-alpha"
"13","high - low",0.307368878983372,0.00323289168500202,147,95.0755264735015,2.99760216648792e-15,"negcorr","c-alpha"
"14","high - med",0.174238789357927,0.00323289168500202,147,53.895647097072,2.99760216648792e-15,"negcorr","c-alpha"
"15","low - med",-0.133130089625445,0.00323289168500202,147,-41.1798793764295,2.99760216648792e-15,"negcorr","c-alpha"
"16","high - low",0.289524643752737,0.00377347475019454,145,76.7262703262584,3.5527136788005e-15,"poscorr","c-alpha"
"17","high - med",0.179133466328479,0.00377347475019455,145,47.4717543344483,3.5527136788005e-15,"poscorr","c-alpha"
"18","low - med",-0.110391177424258,0.00373477142195156,145,-29.5576796950465,3.5527136788005e-15,"poscorr","c-alpha"
"19","high - low",0.245076330529238,0.0117729467053537,142,20.8169064774403,0,"nocorr","c-gamma"
"20","high - med",0.136004523949922,0.0117729467053537,142,11.5522925019337,0,"nocorr","c-gamma"
"21","low - med",-0.109071806579315,0.0114589448726353,142,-9.51848602045257,0,"nocorr","c-gamma"
"22","high - low",0.303992547602891,0.00409497413555451,147,74.2355232389585,2.99760216648792e-15,"negcorr","c-gamma"
"23","high - med",0.164815529366742,0.00409497413555451,147,40.2482467314592,2.99760216648792e-15,"negcorr","c-gamma"
"24","low - med",-0.139177018236149,0.00409497413555451,147,-33.9872765074993,2.99760216648792e-15,"negcorr","c-gamma"
"25","high - low",0.286197912273377,0.00590109641065671,143,48.4991080227966,0,"poscorr","c-gamma"
"26","high - med",0.178768336252447,0.00590109641065671,143,30.2940883883225,0,"poscorr","c-gamma"
"27","low - med",-0.10742957602093,0.00577684888693981,143,-18.5965702277247,0,"poscorr","c-gamma"
"28","high - low",0.239380709562189,0.00523287412127665,146,45.7455509179701,1.0769163338864e-14,"nocorr","shed-alpha"
"29","high - med",0.145950077161207,0.00523287412127664,146,27.8909971420448,1.0769163338864e-14,"nocorr","shed-alpha"
"30","low - med",-0.0934306324009815,0.00520637838585628,146,-17.9454172318317,1.0769163338864e-14,"nocorr","shed-alpha"
"31","high - low",0.261345680771802,0.00581693662889981,147,44.9284043208206,2.99760216648792e-15,"negcorr","shed-alpha"
"32","high - med",0.143383803022231,0.00581693662889981,147,24.6493665256501,2.99760216648792e-15,"negcorr","shed-alpha"
"33","low - med",-0.117961877749571,0.00581693662889982,147,-20.2790377951705,2.99760216648792e-15,"negcorr","shed-alpha"
"34","high - low",0.23793903542091,0.00668797008858376,146,35.5771680000584,1.0769163338864e-14,"poscorr","shed-alpha"
"35","high - med",0.145413073998909,0.00668797008858375,146,21.7424827074401,1.0769163338864e-14,"poscorr","shed-alpha"
"36","low - med",-0.0925259614220009,0.00665410673130445,146,-13.9050912704345,1.0769163338864e-14,"poscorr","shed-alpha"
"37","high - low",0.233424014757193,0.00896113109188691,144,26.0484990525947,0,"nocorr","shed-gamma"
"38","high - med",0.135281761879229,0.00896113109188692,144,15.0965051724004,0,"nocorr","shed-gamma"
"39","low - med",-0.0981422528779644,0.00882146855361954,144,-11.1253871485713,0,"nocorr","shed-gamma"
"40","high - low",0.264051076420558,0.00719434034444531,145,36.7026111885894,3.5527136788005e-15,"negcorr","shed-gamma"
"41","high - med",0.13824996962301,0.00719434034444532,145,19.2164900468952,3.5527136788005e-15,"negcorr","shed-gamma"
"42","low - med",-0.125801106797548,0.00712055028772677,145,-17.6673293094192,3.5527136788005e-15,"negcorr","shed-gamma"
"43","high - low",0.243927908843385,0.00704791366765499,146,34.6099456301294,1.0769163338864e-14,"poscorr","shed-gamma"
"44","high - med",0.144992557715722,0.00704791366765498,146,20.5724083115741,1.0769163338864e-14,"poscorr","shed-gamma"
"45","low - med",-0.0989353511276629,0.00701222779953052,146,-14.1089756288703,1.0769163338864e-14,"poscorr","shed-gamma"
"46","high - low",0.0396823798017806,0.00539682492156651,147,7.35291219902354,3.7584046985728e-11,"nocorr","alpha-gamma"
"47","high - med",0.0234410079401323,0.00539682492156651,147,4.3434812655231,7.68509982312926e-05,"nocorr","alpha-gamma"
"48","low - med",-0.0162413718616483,0.00539682492156651,147,-3.00943093350044,0.00860524225904746,"nocorr","alpha-gamma"
"49","high - low",0.0284464675346887,0.00171586524952808,146,16.5784973747283,1.0769163338864e-14,"negcorr","alpha-gamma"
"50","high - med",0.0138490881620816,0.00172459744459711,146,8.030330907348,9.28701560098943e-13,"negcorr","alpha-gamma"
"51","low - med",-0.0145973793726071,0.00172459744459711,146,-8.46422416914646,1.15130127653629e-13,"negcorr","alpha-gamma"
"52","high - low",0.0344800276957258,0.00170106965144713,146,20.2696154542485,1.0769163338864e-14,"poscorr","alpha-gamma"
"53","high - med",0.011738369992718,0.00169245658521014,146,6.93569932327717,3.64450358780743e-10,"poscorr","alpha-gamma"
"54","low - med",-0.0227416577030078,0.00170106965144713,146,-13.3690338215493,1.0769163338864e-14,"poscorr","alpha-gamma"
