"","contrast","estimate","SE","df","t.ratio","p.value","normalTest","Covariance","traits"
"1","high - low",-25.1800000000001,5.97643624300196,100,-4.2132131886263,0.000162266167641034,2.61316516947121e-06,"(0) Cov","c-shed"
"2","high - med",-26.5208333333334,5.98774455253307,100,-4.42918583126829,7.14800836905116e-05,2.61316516947121e-06,"(0) Cov","c-shed"
"3","low - med",-1.34083333333326,2.5747695676291,100,-0.52075857590935,0.861392577419828,2.61316516947121e-06,"(0) Cov","c-shed"
"4","low - med",11.7282608695652,1.98643329145277,93,5.90418058337505,5.73692933376418e-08,0.546363252416656,"(-) Cov","c-shed"
"5","high - low",1.76473684210528,3.98609256938748,116,0.442723497105451,0.897702168469382,3.24789021675644e-08,"(+) Cov","c-shed"
"6","high - med",-3.89526315789471,3.98609256938748,116,-0.977213421436742,0.592700779828475,3.24789021675644e-08,"(+) Cov","c-shed"
"7","low - med",-5.65999999999999,2.95811213525091,116,-1.91338250249256,0.13946324308632,3.24789021675644e-08,"(+) Cov","c-shed"
"8","high - low",2.34644101543055,2.03297234576325,136,1.15419229401746,0.48263172936045,0.0443684062301234,"(0) Cov","c-alpha"
"9","high - med",0.377053260328502,2.03297234576325,136,0.185468956877002,0.981217654215762,0.0443684062301234,"(0) Cov","c-alpha"
"10","low - med",-1.96938775510204,1.94051561821516,136,-1.01487859031686,0.5687685883266,0.0443684062301234,"(0) Cov","c-alpha"
"11","high - low",12.5711966604824,2.02536764326898,139,6.20687147948717,1.75133433311103e-08,0.0167458442356352,"(-) Cov","c-alpha"
"12","high - med",8.94874768089055,2.02536764326898,139,4.41833249910475,5.87803583823598e-05,0.0167458442356352,"(-) Cov","c-alpha"
"13","low - med",-3.62244897959183,1.97017012516682,139,-1.83864780676497,0.16089262194063,0.0167458442356352,"(-) Cov","c-alpha"
"14","high - low",1.61438063597532,2.41792864012442,138,0.667670918481801,0.782622153624154,8.42453428734657e-07,"(+) Cov","c-alpha"
"15","high - med",-2.20194589463692,2.41792864012442,138,-0.910674474877643,0.634492155621817,8.42453428734657e-07,"(+) Cov","c-alpha"
"16","low - med",-3.81632653061224,2.33775390657989,138,-1.63247573659089,0.235492307968399,8.42453428734657e-07,"(+) Cov","c-alpha"
"17","high - low",35.8723110865967,2.49834811205742,132,14.358411829589,0,0.255585270670426,"(0) Cov","c-gamma"
"18","high - med",25.1376172090457,2.49834811205742,132,10.0616952008119,3.5527136788005e-15,0.255585270670426,"(0) Cov","c-gamma"
"19","low - med",-10.734693877551,2.31749916180599,132,-4.63201629345384,2.54327007366273e-05,0.255585270670426,"(0) Cov","c-gamma"
"20","high - low",55.6866213151929,1.80196935590905,140,30.9032010630948,1.26565424807268e-14,0.377498412147713,"(-) Cov","c-gamma"
"21","high - med",37.3702947845805,1.80196935590905,140,20.7385850719576,1.26565424807268e-14,0.377498412147713,"(-) Cov","c-gamma"
"22","low - med",-18.3163265306124,1.76321279646226,140,-10.3880408350952,3.74145159298678e-14,0.377498412147713,"(-) Cov","c-gamma"
"23","high - low",46.4798534798535,2.04043279423411,135,22.7794091582909,0,0.210922008971821,"(+) Cov","c-gamma"
"24","high - med",36.5012820512821,2.03136983969477,135,17.9688018095054,0,0.210922008971821,"(+) Cov","c-gamma"
"25","low - med",-9.97857142857134,1.91137480737877,135,-5.22062516992981,1.96287767051384e-06,0.210922008971821,"(+) Cov","c-gamma"
"26","high - low",-7.70657043305129,2.36464999181697,136,-3.25907447601988,0.00401065324676908,1.83134618062948e-05,"(0) Cov","shed-alpha"
